date,Daily_Step_Count
2021-10-10,19980
2021-10-11,11229
2021-10-12,15117
2021-10-13,13527
2021-10-14,17781
2021-10-15,32817
2021-10-16,14787
2021-10-17,13665
2021-10-18,12141
2021-10-19,33333
2021-10-20,8142
2021-10-21,17700
2021-10-22,16731
2021-10-23,8664
2021-10-24,5706
2021-10-25,6462
2021-10-26,21651
2021-10-27,11439
2021-10-28,21246
2021-10-29,29631
2021-10-30,15921
2021-10-31,18156
2021-11-01,8895
2021-11-02,11037
2021-11-03,3393
2021-11-04,11556
2021-11-05,4977
2021-11-06,3597
2021-11-07,4863
2021-11-08,19062
2021-11-09,7879
2021-11-10,35825
2021-11-11,22131
2021-11-12,29043
2021-11-13,12120
2021-11-14,29973
2021-11-15,29169
2021-11-16,12951
2021-11-17,11322
2021-11-18,2745
2021-11-19,10326
2021-11-20,26709
2021-11-21,29700
2021-11-22,21708
2021-11-23,18777
2021-11-24,8109
2021-11-25,21021
2021-11-26,17025
2021-11-27,26835
2021-11-28,40626
2021-11-29,16671
2021-11-30,21459
2021-12-01,9462
2021-12-02,19086
2021-12-03,35607
2021-12-04,35310
2021-12-05,9057
2021-12-06,9159
2021-12-07,7854
2021-12-08,8673
2021-12-09,3099
2021-12-10,8667
2021-12-11,4290
2021-12-12,2661
2021-12-13,7518
2021-12-14,8943
2021-12-15,5931
2021-12-16,5790
2021-12-17,2844
2021-12-18,11775
2021-12-19,5298
2021-12-20,10902
2021-12-21,5727
2021-12-22,4329
2021-12-23,7719
2021-12-24,10092
2021-12-25,5913
2021-12-26,6438
2021-12-27,7149
2021-12-28,4287
2021-12-29,6075
2021-12-30,7527
2021-12-31,7203
2022-01-01,8337
2022-01-02,4890
2022-01-03,6258
2022-01-04,5118
2022-01-05,5484
2022-01-06,4911
2022-01-07,381
2022-01-08,6081
2022-01-09,1893
2022-01-10,147
2022-01-11,10233
2022-01-12,174
2022-01-13,5274
2022-01-14,426
2022-01-15,1767
2022-01-16,5712
2022-01-17,8997
2022-01-18,4491
2022-01-19,7107
2022-01-20,7953
2022-01-21,9483
2022-01-22,1077
2022-01-23,261
2022-01-24,3720
2022-01-25,8799
2022-01-26,4941
2022-01-27,8523
2022-01-28,1410
2022-01-29,1212
2022-01-30,1125
2022-01-31,4596
2022-02-01,4863
2022-02-02,6171
2022-02-03,1404
2022-02-04,9738
2022-02-05,8505
2022-02-06,453
2022-02-07,7134
2022-02-08,43710
2022-02-09,14430
2022-02-10,66
2022-02-11,204
2022-02-12,708
2022-02-13,618
2022-02-14,1617
2022-02-15,8685
2022-02-16,8460
2022-02-17,6054
2022-02-18,12300
2022-02-19,18699
2022-02-20,17628
2022-02-21,29469
2022-02-22,39255
2022-02-23,23349
2022-02-24,29835
2022-02-25,32742
2022-02-26,19098
2022-02-27,25599
2022-02-28,26166
2022-03-01,17574
2022-03-02,21777
2022-03-03,28827
2022-03-04,36912
2022-03-05,30426
2022-03-06,30864
2022-03-07,25881
2022-03-08,23577
2022-03-09,20598
2022-03-10,13797
2022-03-11,24330
2022-03-12,18465
2022-03-13,18735
2022-03-14,38847
2022-03-15,12141
2022-03-16,8478
2022-03-17,4017
2022-03-18,5544
2022-03-19,8871
2022-03-20,6213
2022-03-21,12279
2022-03-22,19686
2022-03-23,13110
2022-03-24,28167
2022-03-25,9789
2022-03-26,9927
2022-03-27,21117
2022-03-28,24933
2022-03-29,14055
2022-03-30,15999
2022-03-31,15990
2022-04-01,20817
2022-04-02,25830
2022-04-03,14706
2022-04-04,19560
2022-04-05,28434
2022-04-06,11973
2022-04-07,28278
2022-04-08,15963
2022-04-09,31704
2022-04-10,13785
2022-04-11,24921
2022-04-12,26112
2022-04-13,7305
2022-04-14,25101
2022-04-15,16731
2022-04-16,13230
2022-04-17,16587
2022-04-18,41412
2022-04-19,31584
2022-04-20,30579
2022-04-21,32424
2022-04-22,5517
2022-04-23,5166
2022-04-24,8310
2022-04-25,1821
2022-04-26,3708
2022-04-27,7575
2022-04-28,7713
2022-04-29,4308
2022-04-30,7338
2022-05-01,4026
2022-05-02,6537
2022-05-03,10788
2022-05-04,13908
2022-05-05,35736
2022-05-06,27201
2022-05-07,13044
2022-05-08,18435
2022-05-09,38631
2022-05-10,37926
2022-05-11,21594
2022-05-12,29397
2022-05-13,18333
2022-05-14,19545
2022-05-15,20529
2022-05-16,13404
2022-05-17,37755
2022-05-18,7662
2022-05-19,11025
2022-05-20,18132
2022-05-21,15768
2022-05-22,16029
2022-05-23,32775
2022-05-24,26886
2022-05-25,19662
2022-05-26,37179
2022-05-27,29961
2022-05-28,17949
2022-05-29,23193
2022-05-30,32115
2022-05-31,36243
2022-06-01,6798
2022-06-02,8964
2022-06-03,10500
2022-06-04,2055
2022-06-05,2409
2022-06-06,438
2022-06-07,717
2022-06-08,1929
2022-06-09,1995
2022-06-10,3816
2022-06-11,8148
2022-06-12,189
2022-06-13,1452
2022-06-14,5505
2022-06-15,4149
2022-06-16,3987
2022-06-17,1869
2022-06-18,705
2022-06-19,1611
2022-06-20,7935
2022-06-21,8604
2022-06-22,12975
2022-06-23,8910
2022-06-24,2181
2022-06-25,6414
2022-06-26,3279
2022-06-27,2928
2022-06-28,2361
2022-06-29,5565
2022-06-30,3081
2022-07-01,318
2022-07-02,219
2022-07-03,10680
2022-07-04,3939
2022-07-05,4260
2022-07-06,2709
2022-07-07,11241
2022-07-08,2130
2022-07-09,4878
2022-07-10,4413
2022-07-11,1953
2022-07-12,3210
2022-07-13,681
2022-07-14,1851
2022-07-15,3366
2022-07-16,1074
2022-07-17,7581
2022-07-18,1269
2022-07-19,1536
2022-07-20,1176
2022-07-21,3582
2022-07-22,870
2022-07-23,3261
2022-07-24,11055
2022-07-25,7392
2022-07-26,11088
2022-07-27,11742
2022-07-28,14013
2022-07-29,7941
2022-07-30,20946
2022-07-31,16299
2022-08-01,28518
2022-08-02,19641
2022-08-03,14478
2022-08-04,22157
2022-08-05,12811
2022-08-06,7692
2022-08-07,5814
2022-08-08,3357
2022-08-09,1806
2022-08-10,3162
2022-08-11,1080
2022-08-12,1164
2022-08-13,10119
2022-08-14,18087
2022-08-15,291
2022-08-16,2859
2022-08-17,5166
2022-08-18,2217
2022-08-19,2394
2022-08-20,1041
2022-08-21,2076
2022-08-22,5811
2022-08-23,1365
2022-08-24,732
2022-08-25,1047
2022-08-26,3150
2022-08-27,2382
2022-08-28,0
2022-08-29,1392
2022-08-30,4389
2022-08-31,1671
2022-09-01,8178
2022-09-02,3993
2022-09-03,2970
2022-09-04,2895
2022-09-05,2418
2022-09-06,2961
2022-09-07,2997
2022-09-08,4557
2022-09-09,375
2022-09-10,1848
2022-09-11,4521
2022-09-12,3414
2022-09-13,6840
2022-09-14,8325
2022-09-15,23829
2022-09-16,8175
2022-09-17,31221
2022-09-18,23883
2022-09-19,21771
2022-09-20,33945
2022-09-21,10911
2022-09-22,17910
2022-09-23,8280
2022-09-24,10716
2022-09-25,23145
2022-09-26,12498
